Año,Kilómetraje,Precio,Lugar,Negociacion,Categoría,Marca,Subtipo,Modelo,Publicación,Recorrido,Vidrios,Transmisión,Combustible,Sistema de climatización,Tracción,Color,Último número de la placa,Dirección,Motor(cilindraje),Tapizado,Placa,Tipo de Motor,Entrada desde,Cuotas desde,Número de cuotas
2007,225000,16.990,Otavalo,Negociable,USED,Toyota,Todoterreno,RAV 4,,,,,,,,,,,,,,,,,
2014,181000,14.990,Quito,Negociable,USED,Volkswagen,Sedán,New Jetta,,,,,,,,,,,,,,,,,
2019,53000,105.900,Quito,Negociable,USED,Ford,Todoterreno,RAPTOR,,,,,,,,,,,,,,,,,
2016,92160,15.900,Quito,Fijo,USED,Suzuki,Todoterreno,GRAN VITARA SZ NEXT,,,,,,,,,,,,,,,,,
2018,96784,13.900,Quito,Negociable,USED,Kia,Hatchback (5 Puertas),PICANTO EX 1.2,,,,,,,,,,,,,,,,,
2018,67030,29.900,Quito,Negociable,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,,,,
2011,121000,10.900,Quito,Negociable,USED,Renault,Station Wagon,STEPWAY INTENS FASE,,,,,,,,,,,,,,,,,
2014,143600,23.400,Quito,Negociable,USED,Honda,Todoterreno,CR-V,,,,,,,,,,,,,,,,,
2017,0,38.000,Guayaquil,Fijo,USED,Chevrolet,Hatchback (5 Puertas),Trailblazer,,,,,,,,,,,,,,,,,
2018,0,38.000,Guayaquil,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD 4x4 Diesel,,,,,,,,,,,,,,,,,
2015,173900,28.900,Quito,Negociable,USED,Ford,Todoterreno,Explorer XLT,,,,,,,,,,,,,,,,,
2010,194000,18.900,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux CD 4x2,,,,,,,,,,,,,,,,,
2010,267354,7.500,Quito,Negociable,USED,Kia,Sedán,Rio Stylus,,,,,,,,,,,,,,,,,
2013,160000,17.900,Quito,Fijo,USED,Kia,Todoterreno,Sportage R,,,,,,,,,,,,,,,,,
2022,19000,29.900,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD 4x2,,,,,,,,,,,,,,,,,
2020,41000,20.800,Quito,Negociable,USED,Chevrolet,Todoterreno,Tracker LS,,,,,,,,,,,,,,,,,
2018,61000,11.900,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
2015,146000,10.990,Otavalo,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,
2012,161895,14.500,Quito,Negociable,USED,Ford,Todoterreno Ligero,ESCAPE XLS,,,,,,,,,,,,,,,,,
2008,174293,23.900,Quito,Negociable,USED,Nissan,Todoterreno,Patrol GRX 4x4,,,,,,,,,,,,,,,,,
2017,90020,15.900,Quito,Fijo,USED,Hyundai,Sedán,Ioniq Hybrid,,,,,,,,,,,,,,,,,
2011,152570,15.500,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,Sport Track,,,,,,,,,,,,,,,,,
2012,137489,9.400,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,
2017,41500,60.500,Quito,Negociable,USED,Mercedes Benz,Todoterreno,GLC 250,,,,,,,,,,,,,,,,,
2020,88000,20.400,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva,,,,,,,,,,,,,,,,,
2013,67527,24.900,Quito,Negociable,USED,Nissan,Todoterreno,Pathfinder,,,,,,,,,,,,,,,,,
1998,45179,6.900,Quito,Negociable,USED,Volkswagen,Sedán,Vento GLS,,,,,,,,,,,,,,,,,
2013,143000,32.990,Otavalo,Negociable,USED,Ford,Camioneta Doble Cabina,F150 FX4,,,,,,,,,,,,,,,,,
1993,247515,7.900,Quito,Negociable,USED,BMW,Sedán,325i,,,,,,,,,,,,,,,,,
1980,329000,9.990,Otavalo,Negociable,USED,Mercedes Benz,Sedán,280,,,,,,,,,,,,,,,,,
2018,54000,29.900,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,,,,
2006,162000,23.900,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD 4x2,#1721820,19000 Kms,Eléctricos,Manual,Gasolina,Aire Acondicionado,4 x 2,Plata,3,Electrónica,2500,Tela,Pichincha,,,,
2015,90,19.990,Otavalo,Negociable,USED,QMC,Todoterreno,Fine,,,,,,,,,,,,,,,,,
2010,124066,17.990,Otavalo,Negociable,USED,Toyota,Todoterreno,Highlander Limited Hibrido,,,,,,,,,,,,,,,,,
2006,258830,14.900,Quito,Negociable,USED,Nissan,Todoterreno,Pathfinder,,,,,,,,,,,,,,,,,
2019,78000,16.800,Quito,Negociable,USED,Kia,Sedán,Rio LX AC,,,,,,,,,,,,,,,,,
2018,90000,9.990,Quito,Fijo,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
2015,5500,66.990,Quito,Negociable,USED,Mercedes Benz,Convertible,SLK 200,,,,,,,,,,,,,,,,,
2014,110000,9.900,Quito,Negociable,USED,Chevrolet,Sedán,Sail,,,,,,,,,,,,,,,,,
2019,269633,16.900,Quito,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
2013,140000,11.900,Quito,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,
2013,130665,54.900,Cuenca,Negociable,USED,Toyota,Todoterreno,FJ Cruiser TRD,,,,,,,,,,,,,,,,,
2013,130665,54.900,Cuenca,Negociable,USED,Toyota,Todoterreno,FJ Cruiser,,,,,,,,,,,,,,,,,
2018,67000,35.890,Quito,Negociable,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,,,,
2004,231000,8.900,Quito,Negociable,USED,Chevrolet,Todoterreno,Trailblazer,,,,,,,,,,,,,,,,,
2018,60000,14.990,Quito,Fijo,USED,Volkswagen,Sedán,Polo,,,,,,,,,,,,,,,,,
2016,38000,61.990,Quito,Fijo,USED,Mercedes Benz,Sedán,CLA 45 AMG,,,,,,,,,,,,,,,,,
2017,74000,25.400,Quito,Negociable,USED,Kia,Todoterreno,SPORTAGE GT LINE AT,,,,,,,,,,,,,,,,,
1980,33800,13.900,Quito,Negociable,USED,Mini,Coupé,Austin 1000,,,,,,,,,,,,,,,,,
2010,102000,12.990,Quito,Fijo,USED,Toyota,Sedán,Prius Hybrido,,,,,,,,,,,,,,,,,
2023,3000,17.900,Quito,Negociable,USED,JAC,Todoterreno,S3,,,,,,,,,,,,,,,,,
2014,171234,30.900,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 4.0,,,,,,,,,,,,,,,,,
2013,238000,27.500,Quito,Negociable,USED,Toyota,Todoterreno,Fortuner 4.0,,,,,,,,,,,,,,,,,
2019,41198,16.800,Quito,Negociable,USED,Great Wall,Todoterreno,Haval H3 4X2,,,,,,,,,,,,,,,,,
2013,140000,18.900,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150,,,,,,,,,,,,,,,,,
2011,76000,40.000,Quito,Negociable,USED,Porsche,Todoterreno,Cayenne S Hybrid,,,,,,,,,,,,,,,,,
2020,58000,38.000,Quito,Negociable,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,,,,
2017,11340,23.000,Guayaquil,Negociable,USED,Ford,Todoterreno,Escape,,,,,,,,,,,,,,,,,
2002,218000,5.900,Quito,Negociable,USED,Volkswagen,Sedán,Passat,,,,,,,,,,,,,,,,,
2017,63000,17.900,Quito,Negociable,USED,Chevrolet,Todoterreno,Captiva Sport,,,,,,,,,,,,,,,,,
2015,182609,19.900,Quito,Fijo,USED,Hyundai,Todoterreno,Tucson IX,,,,,,,,,,,,,,,,,
2019,54245,13.900,Quito,Fijo,USED,JAC,Todoterreno,S5,,,,,,,,,,,,,,,,,
2015,69000,25.900,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail Advance,,,,,,,,,,,,,,,,,
2021,29000,52.900,Quito,Negociable,USED,Kia,Sedán,Stinger GT Line,,,,,,,,,,,,,,,,,
2017,74000,25.400,Quito,Negociable,USED,Kia,Todoterreno,SPORTAGE GT LINE AT,,,,,,,,,,,,,,,,,
2013,137700,11.500,Quito,Fijo,USED,Nissan,Sedán,Versa,,,,,,,,,,,,,,,,,
2017,82000,21.400,Quito,Negociable,USED,Toyota,Sedán,Prius Hybrido,#1719192,102000 Kms,Eléctricos,Automática,Gasolina,Aire Acondicionado,4 x 2,Plata,5,Electrónica,1600,Tela,Pichincha,Hybrido,,,
2019,32000,12.990,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2023,16000,26.900,Quito,Fijo,USED,Foton,Camioneta Doble Cabina,TUNLAND G7,,,,,,,,,,,,,,,,,
2004,197205,7.900,Quito,Negociable,USED,Chevrolet,Sedán,Astra,,,,,,,,,,,,,,,,,
2016,206000,28.200,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI AC 3.0 CD 4X4 TM DIESEL,,,,,,,,,,,,,,,,,
2009,222310,25.600,Cuenca,Negociable,USED,Mitsubishi,Todoterreno,Nativa,,,,,,,,,,,,,,,,,
2004,252280,12.900,Cuenca,Negociable,USED,Ford,Camioneta Doble Cabina,RANGER XL,,,,,,,,,,,,,,,,,
2019,33000,89.900,Quito,Negociable,USED,Mercedes Benz,Convertible,C200,,,,,,,,,,,,,,,,,
2009,185000,13.300,Quito,Negociable,USED,Ford,Todoterreno,Escape,,,,,,,,,,,,,,,,,
2013,185000,16.900,Quito,Negociable,USED,Kia,Van,Grand Carnival,,,,,,,,,,,,,,,,,
2015,163000,21.900,Quito,Negociable,USED,Chevrolet,Camioneta Cabina Simple,D-MAX,,,,,,,,,,,,,,,,,
2005,255292,11.900,Quito,Fijo,USED,Chevrolet,Todoterreno,Trailblazer,,,,,,,,,,,,,,,,,
2020,48917,12.900,Quito,Fijo,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2020,63133,22.900,Quito,Fijo,USED,JAC,Camioneta Doble Cabina,HFC 1037 DKST,,,,,,,,,,,,,,,,,
2020,68000,12.400,Quito,Negociable,USED,Chery,Sedán,Arrizo 3,,,,,,,,,,,,,,,,,
2021,30000,12.900,Quito,Negociable,USED,Chery,Sedán,Arrizo 3,,,,,,,,,,,,,,,,,
2021,31000,12.900,Quito,Negociable,USED,Chery,Sedán,Arrizo 3,,,,,,,,,,,,,,,,,
2014,97000,15.500,Quito,Negociable,USED,Volkswagen,Sedán,New Jetta,,,,,,,,,,,,,,,,,
2018,57221,11.900,Cuenca,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
1982,300,5.900,Quito,Fijo,USED,Volkswagen,Coupé,Escarabajo,,,,,,,,,,,,,,,,,
2010,193776,16.900,Quito,Fijo,USED,Ford,Camioneta Cabina Simple,F150 4X4,,,,,,,,,,,,,,,,,
2011,339065,17.900,Quito,Fijo,USED,Nissan,Camioneta Doble Cabina,Navara,,,,,,,,,,,,,,,,,
2007,139891,16.900,Quito,Fijo,USED,Ford,Todoterreno,F150 XLT 4X4 CREW CAB,,,,,,,,,,,,,,,,,
2012,231096,11.900,Quito,Fijo,USED,Volkswagen,Hatchback (5 Puertas),Gol Power,,,,,,,,,,,,,,,,,
2023,0,32.990,Quito,Fijo,NEW,JMC,Camioneta Doble Cabina,VIGUS PRO,,,,,,,,,,,,,,,,,
2008,69826,69.900,Quito,Negociable,USED,Porsche,Todoterreno,Cayenne Turbo,,,,,,,,,,,,,,,,,
2019,68250,18.600,Cuenca,Negociable,USED,Citroen,Hatchback (5 Puertas),C3,,,,,,,,,,,,,,,,,
2020,45000,33.400,Quito,Negociable,USED,Peugeot,Crossover,3008,,,,,,,,,,,,,,,,,
2020,12000,21.100,Quito,Negociable,USED,Chevrolet,Todoterreno,Tracker LS,,,,,,,,,,,,,,,,,
2018,49000,29.900,Quito,Negociable,USED,Mazda,Todoterreno,CX-5 Full,,,,,,,,,,,,,,,,,
2020,34606,42.990,Quito,Negociable,USED,Volvo,Todoterreno,XC40 R Design,,,,,,,,,,,,,,,,,
2016,85000,12.900,Quito,Negociable,USED,Chevrolet,Sedán,Aveo,,,,,,,,,,,,,,,,,
2019,89000,22.900,Quito,Negociable,USED,Hyundai,Sedán,Sonata,,,,,,,,,,,,,,,,,
2016,145000,17.990,Quito,Fijo,USED,Kia,Todoterreno,Sportage Active,,,,,,,,,,,,,,,,,
2019,89000,22.900,Quito,Negociable,USED,Hyundai,Sedán,Sonata Hybrid,,,,,,,,,,,,,,,,,
2020,79000,18.700,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Family,#1720213,57221 Kms,Manuales,Manual,Gasolina,Aire Acondicionado,4 x 2,Plata,0,,1500,Otro,Pichincha,1.5,,,
2011,170000,11.800,Quito,Negociable,USED,Nissan,Sedán,Sentra,,,,,,,,,,,,,,,,,
2018,137000,16.900,Quito,Negociable,USED,Peugeot,Camioneta Cabina Simple,Partner,,,,,,,,,,,,,,,,,
2010,20000,16.900,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,Silverado,,,,,,,,,,,,,,,,,
2023,5000,53.900,Quito,Negociable,USED,Toyota,Todoterreno,New Fortuner,,,,,,,,,,,,,,,,,
2011,88897,39.900,Quito,Negociable,USED,Porsche,Todoterreno,Cayenne S Hybrid,,,,,,,,,,,,,,,,,
2018,76000,64.480,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,F150,,,,,,,,,,,,,,,,,
2013,163000,17.800,Guayaquil,Negociable,USED,Kia,Todoterreno,Sportage R,,,,,,,,,,,,,,,,,
2023,0,29.990,Quito,Fijo,NEW,JMC,Camioneta Doble Cabina,VIGUS PLUS,,,,,,,,,,,,,,,,,
2018,29782,43.000,Guayaquil,Negociable,USED,Mini,Convertible,CooperS,,,,,,,,,,,,,,,,,
2017,98000,22.600,Quito,Fijo,USED,Kia,Todoterreno,Sportage GT,,,,,,,,,,,,,,,,,
2018,80000,24.900,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail,,,,,,,,,,,,,,,,,
2008,148000,9.900,Quito,Fijo,USED,Kia,Sedán,Rio,,,,,,,,,,,,,,,,,
2019,89000,22.900,Quito,Negociable,USED,Hyundai,Sedán,Sonata,,,,,,,,,,,,,,,,,
2019,88000,16.600,Quito,Negociable,USED,Kia,Sedán,Rio,,,,,,,,,,,,,,,,,
2014,118000,22.900,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,,,,
2015,99000,22.900,Quito,Negociable,USED,Mazda,Todoterreno,CX-5,,,,,,,,,,,,,,,,,
2016,85000,12.900,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Emotion,,,,,,,,,,,,,,,,,
2022,19000,21.900,Quito,Negociable,USED,Soueast,Todoterreno,DX3,,,,,,,,,,,,,,,,,
2003,232000,15.900,Quito,Negociable,USED,Mercedes Benz,Sedán,E320,,,,,,,,,,,,,,,,,
2023,0,26.990,Quito,Fijo,NEW,JMC,Camioneta Doble Cabina,VIGUS WORK,,,,,,,,,,,,,,,,,
2023,0,23.990,Quito,Fijo,NEW,JMC,Camioneta Doble Cabina,VIGUS WORK,,,,,,,,,,,,,,,,,
2001,167000,9.900,Quito,Negociable,USED,Alfa Romeo,Sedán,156,,,,,,,,,,,,,,,,,
2021,16000,18.990,Quito,Fijo,USED,Kia,Crossover,Stonic,,,,,,,,,,,,,,,,,
2018,89000,11.900,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
2023,5000,18.900,Quito,Negociable,USED,Chevrolet,Station Wagon,ONIX,,,,,,,,,,,,,,,,,
2011,152570,15.500,Quito,Negociable,USED,Ford,Camioneta Doble Cabina,Explorer Sport 4X4,,,,,,,,,,,,,,,,,
2022,29000,18.300,Quito,Negociable,USED,Shineray,Todoterreno,SWM G01,,,,,,,,,,,,,,,,,
2022,9124,52.900,Quito,Fijo,USED,Toyota,Todoterreno,New Fortuner,,,,,,,,,,,,,,,,,
2006,282000,11.900,Quito,Negociable,USED,Mitsubishi,Todoterreno,Outlander,,,,,,,,,,,,,,,,,
2022,25000,44.800,Quito,Negociable,USED,Toyota,Camioneta Doble Cabina,Hilux,,,,,,,,,,,,,,,,,
2015,153968,28.400,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI FULL AC 3.0 CD 4X4,,,,,,,,,,,,,,,,,
2015,153968,28.400,Cuenca,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX CRDI AC 3.0 CD 4X4 TM DIESEL,,,,,,,,,,,,,,,,,
2018,106929,22.900,Cuenca,Negociable,USED,Kia,Todoterreno,Sportage SL AT,,,,,,,,,,,,,,,,,
2018,106929,22.900,Cuenca,Negociable,USED,Kia,Todoterreno,Sportage,,,,,,,,,,,,,,,,,
2002,160887,10.900,Quito,Fijo,USED,Soueast,Todoterreno,DX3,#1720281,19000 Kms,Eléctricos,Manual,Gasolina,Aire Acondicionado,4 x 2,Plomo,5,Hidráulica,1500,Cuero,Santo Domingo de los Tsachilas,,,,
2019,12431,16.900,Quito,Fijo,USED,Mazda,Hatchback (5 Puertas),3,,,,,,,,,,,,,,,,,
1999,297921,9.200,Cuenca,Negociable,USED,Chevrolet,Todoterreno,Rodeo,,,,,,,,,,,,,,,,,
1976,115787,9.600,Cuenca,Negociable,USED,Mazda,Camioneta Cabina Simple,B1600,,,,,,,,,,,,,,,,,
2022,23529,22.400,Quito,Negociable,USED,DongFeng,Camioneta Doble Cabina,RICH,,,,,,,,,,,,,,,,,
2020,52125,17.500,Cuenca,Negociable,USED,Kia,Sedán,Rio LX AC,,,,,,,,,,,,,,,,,
2018,51116,37.900,Cuenca,Negociable,USED,Ford,Todoterreno,Edge ST,,,,,,,,,,,,,,,,,
2022,0,143.400,Cuenca,Negociable,USED,Jeep,Camioneta Doble Cabina,Gladiator Mojave,,,,,,,,,,,,,,,,,
2008,200000,9.900,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,D-MAX,,,,,,,,,,,,,,,,,
2018,51116,37.900,Cuenca,Negociable,USED,Ford,Todoterreno,Edge,,,,,,,,,,,,,,,,,
2016,85000,12.900,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Emotion,,,,,,,,,,,,,,,,,
2013,150000,9.000,Quito,Negociable,USED,Fiat,Hatchback (5 Puertas),Palio,,,,,,,,,,,,,,,,,
2016,85000,12.900,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Emotion GLS,,,,,,,,,,,,,,,,,
2009,180000,14.500,Quito,Negociable,USED,Chevrolet,Camioneta Doble Cabina,LUV D-MAX,,,,,,,,,,,,,,,,,
2001,177664,17.400,Cuenca,Negociable,USED,Toyota,Todoterreno,Land Cruiser Prado VX,,,,,,,,,,,,,,,,,
2020,47000,14.400,Quito,Negociable,USED,JAC,Todoterreno,S2,,,,,,,,,,,,,,,,,
2022,14000,33.500,Quito,Negociable,USED,Ford,Todoterreno,Territory,,,,,,,,,,,,,,,,,
2017,38300,24.200,Quito,Negociable,USED,Toyota,Van,Innova,,,,,,,,,,,,,,,,,
2019,88000,11.900,Quito,Negociable,USED,Zotye,Sedán,Z360,,,,,,,,,,,,,,,,,
2020,56402,30.700,Quito,Negociable,USED,Mazda,Todoterreno,CX-5,,,,,,,,,,,,,,,,,
2020,44148,12.600,Cuenca,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2015,74000,18.900,Quito,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,
2016,85000,12.900,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Emotion GLS,,,,,,,,,,,,,,,,,
2008,254000,30.900,Quito,Negociable,USED,Toyota,Todoterreno,4 Runner,,,,,,,,,,,,,,,,,
2018,91000,26.900,Quito,Negociable,USED,Nissan,Todoterreno,X-Trail Exclusive,,,,,,,,,,,,,,,,,
2015,143000,12.900,Quito,Fijo,USED,Nissan,Sedán,Versa,,,,,,,,,,,,,,,,,
2005,305949,16.900,Quito,Fijo,USED,Hyundai,Todoterreno,Terracan 2.9,,,,,,,,,,,,,,,,,
2011,110958,11.900,Quito,Fijo,USED,Chevrolet,Sedán,Cruze,,,,,,,,,,,,,,,,,
2023,0,17.990,Quito,Fijo,NEW,Chery,Crossover,Tiggo 2,,,,,,,,,,,,,,,,,
2014,100000,13.690,Quito,Negociable,USED,Ford,Todoterreno,Ecosport,,,,,,,,,,,,,,,,,
2004,152000,8.500,Quito,Negociable,USED,Chevrolet,Todoterreno,Trailblazer,,,,,,,,,,,,,,,,,
2005,222789,10.300,Cuenca,Negociable,USED,Hyundai,Todoterreno,Tucson TA,,,,,,,,,,,,,,,,,
2017,87059,25.900,Quito,Negociable,USED,Volkswagen,Todoterreno,Tiguan,,,,,,,,,,,,,,,,,
2020,60000,13.400,Quito,Negociable,USED,Chevrolet,Sedán,Beat,,,,,,,,,,,,,,,,,
2021,50000,21.900,Quito,Negociable,USED,Zxauto,Camioneta Doble Cabina,Terralord,,,,,,,,,,,,,,,,,
2019,81541,18.900,Quito,Fijo,USED,Zotye,Sedán,Z360,#1724584,88000 Kms,,,,,,,,,,,,,,,
2005,222789,10.300,Cuenca,Negociable,USED,Hyundai,Todoterreno,Tucson,,,,,,,,,,,,,,,,,
2015,239000,15.300,Quito,Fijo,USED,Hyundai,Todoterreno,Veracruz,,,,,,,,,,,,,,,,,
2015,82000,15.800,Quito,Negociable,USED,Suzuki,Hatchback (5 Puertas),GRAN VITARA SZ NEXT,,,,,,,,,,,,,,,,,
2013,97494,29.800,Quito,Negociable,USED,BMW,Sedán,320,,,,,,,,,,,,,,,,,
2013,109700,9.200,Quito,Negociable,USED,Fiat,Hatchback (5 Puertas),Palio,,,,,,,,,,,,,,,,,
2014,109000,14.990,Quito,Fijo,USED,Suzuki,Todoterreno,SZ Next Sport,,,,,,,,,,,,,,,,,
2019,50000,16.900,Quito,Negociable,USED,Foday,Todoterreno,Lion F22,,,,,,,,,,,,,,,,,
2017,79000,17.400,Quito,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara SZ 2.4,,,,,,,,,,,,,,,,,
2017,79000,17.400,Quito,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ 2.4,,,,,,,,,,,,,,,,,
2015,168000,12.900,Quito,Negociable,USED,Kia,Sedán,Cerato Forte,,,,,,,,,,,,,,,,,
2008,206606,22.000,Cuenca,Negociable,USED,Mitsubishi,Todoterreno,Montero 5P,,,,,,,,,,,,,,,,,
2022,7000,12.900,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
2020,68000,27.900,Quito,Negociable,USED,Nissan,Camioneta Doble Cabina,Frontier,,,,,,,,,,,,,,,,,
2013,141575,19.900,Cuenca,Negociable,USED,Ford,Camioneta Cabina Simple,F150 XLT CD,,,,,,,,,,,,,,,,,
2013,141575,21.300,Cuenca,Negociable,USED,Ford,Camioneta Cabina Simple,F150 4X4,,,,,,,,,,,,,,,,,
2003,232000,15.900,Quito,Negociable,USED,Mercedes Benz,Sedán,320E,,,,,,,,,,,,,,,,,
2020,40000,13.900,Quito,Negociable,USED,Gac,Sedán,GA4,,,,,,,,,,,,,,,,,
1975,105653,15.200,Cuenca,Negociable,USED,Ford,Camioneta Cabina Simple,F150,,,,,,,,,,,,,,,,,
2010,141000,13.000,Guayaquil,Negociable,USED,Suzuki,Todoterreno,Grand Vitara SZ 2.0 4x4,,,,,,,,,,,,,,,,,
2015,75000,50.990,Quito,Fijo,USED,BMW,Todoterreno,X5 xDrive35i,,,,,,,,,,,,,,,,,
2019,80000,15.900,Quito,Negociable,USED,Kia,Sedán,Rio,,,,,,,,,,,,,,,,,
2013,203700,16.900,Quito,Negociable,USED,Kia,Todoterreno,Sportage R,,,,,,,,,,,,,,,,,
2019,92000,19.200,Quito,Negociable,USED,Nissan,Todoterreno,Kicks,,,,,,,,,,,,,,,,,
2003,220000,12.400,Quito,Negociable,USED,Audi,Hatchback (5 Puertas),A3,,,,,,,,,,,,,,,,,
2014,58000,15.800,Sangolqui,Negociable,USED,Chevrolet,Todoterreno Ligero,Grand Vitara 5p 4x2,,,,,,,,,,,,,,,,,
2020,40000,20.900,Quito,Negociable,USED,Soueast,Todoterreno,DX7 Prime,,,,,,,,,,,,,,,,,
2018,50000,13.900,Quito,Negociable,USED,Great Wall,Todoterreno,M4,,,,,,,,,,,,,,,,,
2020,63000,19.600,Quito,Negociable,USED,Chevrolet,Todoterreno,Tracker LS,,,,,,,,,,,,,,,,,
2007,69355,46.900,Quito,Negociable,USED,BMW,Todoterreno,X5 4.8i,,,,,,,,,,,,,,,,,
2020,46066,16.500,Quito,Negociable,USED,Kia,Sedán,Rio LX AC,,,,,,,,,,,,,,,,,
2021,35000,17.000,Quito,Negociable,USED,Chevrolet,Sedán,ONIX LTZ TURBO,,,,,,,,,,,,,,,,,
2010,178000,14.990,Quito,Fijo,USED,Chevrolet,Camioneta Doble Cabina,Silverado,,,,,,,,,,,,,,,,,
2016,80000,30.900,Quito,Financiado,USED,BMW,Hatchback (5 Puertas),120i,,,,,,,,,,,,,,,,,
2003,232000,15.900,Quito,Negociable,USED,Mercedes Benz,Sedán,320E,,,,,,,,,,,,,,,,,
2003,232000,15.900,Quito,Negociable,USED,Ford,Camioneta Cabina Simple,F150,#1717881,105653 Kms,Manuales,Manual,Diesel,,,Blanco,0,,1500,Cuero,Loja,2.8 turbo,,,
2010,109000,23.990,Quito,Negociable,USED,Chevrolet,Todoterreno,Tahoe Híbrido,,,,,,,,,,,,,,,,,
2015,75387,22.600,Cuenca,Negociable,USED,Hyundai,Todoterreno,Tucson IX,,,,,,,,,,,,,,,,,
2002,213661,8.900,Quito,Fijo,USED,Hyundai,Hatchback (5 Puertas),Matrix,,,,,,,,,,,,,,,,,
2019,98742,18.900,Quito,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ 2.4,,,,,,,,,,,,,,,,,
2008,184000,26.500,Quito,Negociable,USED,Mitsubishi,Todoterreno,Montero 3P,,,,,,,,,,,,,,,,,
2020,57396,25.300,Cuenca,Negociable,USED,Kia,Todoterreno,Sportage SL AT,,,,,,,,,,,,,,,,,
2010,213385,11.900,Cuenca,Negociable,USED,Chevrolet,Todoterreno,Grand Vitara 3P Sport,,,,,,,,,,,,,,,,,
2015,104000,23.600,Quito,Negociable,USED,Toyota,Todoterreno,RAV 4,,,,,,,,,,,,,,,,,
2013,140000,14.900,Quito,Negociable,USED,Ford,Todoterreno,Escape,,,,,,,,,,,,,,,,,
2015,86048,21.900,Cuenca,Negociable,USED,Hyundai,Todoterreno,Tucson IX,,,,,,,,,,,,,,,,,
2012,144000,8.900,Quito,Negociable,USED,Chevrolet,Sedán,Aveo Family,,,,,,,,,,,,,,,,,
2015,77227,16.900,Cuenca,Negociable,USED,Hyundai,Sedán,Sonata,,,,,,,,,,,,,,,,,
2012,163000,14.900,Quito,Negociable,USED,Mazda,Camioneta Doble Cabina,BT-50 CD 4x2,,,,,,,,,,,,,,,,,
2019,53000,12.990,Quito,Fijo,USED,Shineray,Van Pasajeros,X30L,,,,,,,,,,,,,,,,,
2016,115078,15.990,Quito,Fijo,USED,Suzuki,Todoterreno,Grand Vitara SZ,,,,,,,,,,,,,,,,,
2018,101400,39.990,Quito,Negociable,USED,Chevrolet,Todoterreno,TrailBlazer DSL LTZ TA 2.8,,,,,,,,,,,,,,,,,
2020,64300,12.800,Quito,Negociable,USED,Chevrolet,Hatchback (5 Puertas),Spark GT,,,,,,,,,,,,,,,,,
